instant,dteday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,temp_actual,atemp_actual,hum_actual,windspeed_actual,time_group,temp_category
1333,2011-02-28,Spring,2011,Feb,19,No,Monday,Light Rain/Snow,0.44,0.4394,0.88,0.6119,1,79,80,18.04,21.97,88.0,40.9973,Evening,Mild
1334,2011-02-28,Spring,2011,Feb,20,No,Monday,Light Rain/Snow,0.44,0.4394,0.88,0.6119,0,45,45,18.04,21.97,88.0,40.9973,Evening,Mild
1335,2011-02-28,Spring,2011,Feb,21,No,Monday,Mist,0.38,0.3939,0.87,0.3881,2,78,80,15.58,19.695,87.0,26.0027,Night,Mild
1336,2011-02-28,Spring,2011,Feb,22,No,Monday,Light Rain/Snow,0.34,0.303,0.93,0.4179,4,72,76,13.940000000000001,15.15,93.0,27.999299999999998,Night,Cold
1337,2011-02-28,Spring,2011,Feb,23,No,Monday,Mist,0.32,0.2879,0.81,0.3881,0,45,45,13.120000000000001,14.395,81.0,26.0027,Night,Cold
1338,2011-03-01,Spring,2011,Mar,0,No,Tuesday,Clear,0.3,0.2727,0.7,0.4627,0,7,7,12.299999999999999,13.635,70.0,31.0009,Night,Cold
1339,2011-03-01,Spring,2011,Mar,1,No,Tuesday,Clear,0.26,0.2273,0.7,0.3582,0,3,3,10.66,11.365,70.0,23.9994,Night,Cold
1340,2011-03-01,Spring,2011,Mar,2,No,Tuesday,Clear,0.24,0.2121,0.65,0.3881,0,4,4,9.84,10.605,65.0,26.0027,Night,Cold
1341,2011-03-01,Spring,2011,Mar,3,No,Tuesday,Clear,0.22,0.2121,0.69,0.2836,0,2,2,9.02,10.605,69.0,19.0012,Night,Cold
1342,2011-03-01,Spring,2011,Mar,4,No,Tuesday,Clear,0.22,0.2121,0.69,0.2537,0,1,1,9.02,10.605,69.0,16.997899999999998,Night,Cold
1343,2011-03-01,Spring,2011,Mar,5,No,Tuesday,Clear,0.2,0.1818,0.64,0.2836,1,1,2,8.200000000000001,9.09,64.0,19.0012,Night,Cold
1344,2011-03-01,Spring,2011,Mar,6,No,Tuesday,Clear,0.2,0.1818,0.59,0.2985,0,46,46,8.200000000000001,9.09,59.0,19.999499999999998,Morning,Cold
1345,2011-03-01,Spring,2011,Mar,7,No,Tuesday,Clear,0.2,0.1818,0.59,0.3284,2,105,107,8.200000000000001,9.09,59.0,22.0028,Morning,Cold
1346,2011-03-01,Spring,2011,Mar,8,No,Tuesday,Clear,0.2,0.1818,0.59,0.3881,10,204,214,8.200000000000001,9.09,59.0,26.0027,Morning,Cold
1347,2011-03-01,Spring,2011,Mar,9,No,Tuesday,Clear,0.22,0.197,0.55,0.4179,8,116,124,9.02,9.85,55.00000000000001,27.999299999999998,Morning,Cold
1348,2011-03-01,Spring,2011,Mar,10,No,Tuesday,Clear,0.24,0.2121,0.52,0.2836,13,55,68,9.84,10.605,52.0,19.0012,Morning,Cold
1349,2011-03-01,Spring,2011,Mar,11,No,Tuesday,Clear,0.28,0.2727,0.45,0.2537,8,48,56,11.48,13.635,45.0,16.997899999999998,Morning,Cold
1350,2011-03-01,Spring,2011,Mar,12,No,Tuesday,Clear,0.3,0.303,0.39,0.1343,6,80,86,12.299999999999999,15.15,39.0,8.9981,Afternoon,Cold
1351,2011-03-01,Spring,2011,Mar,13,No,Tuesday,Clear,0.32,0.3485,0.39,0.0,13,65,78,13.120000000000001,17.424999999999997,39.0,0.0,Afternoon,Cold
1352,2011-03-01,Spring,2011,Mar,14,No,Tuesday,Clear,0.32,0.3333,0.36,0.1343,18,61,79,13.120000000000001,16.665,36.0,8.9981,Afternoon,Cold
1353,2011-03-01,Spring,2011,Mar,15,No,Tuesday,Clear,0.34,0.3636,0.34,0.0,7,57,64,13.940000000000001,18.18,34.0,0.0,Afternoon,Cold
1354,2011-03-01,Spring,2011,Mar,16,No,Tuesday,Clear,0.34,0.3485,0.34,0.0896,10,92,102,13.940000000000001,17.424999999999997,34.0,6.0032,Afternoon,Cold
1355,2011-03-01,Spring,2011,Mar,17,No,Tuesday,Clear,0.34,0.3485,0.34,0.0896,12,230,242,13.940000000000001,17.424999999999997,34.0,6.0032,Evening,Cold
1356,2011-03-01,Spring,2011,Mar,18,No,Tuesday,Clear,0.32,0.3182,0.39,0.194,10,214,224,13.120000000000001,15.909999999999998,39.0,12.998000000000001,Evening,Cold
1357,2011-03-01,Spring,2011,Mar,19,No,Tuesday,Clear,0.3,0.303,0.49,0.1343,4,115,119,12.299999999999999,15.15,49.0,8.9981,Evening,Cold
1358,2011-03-01,Spring,2011,Mar,20,No,Tuesday,Clear,0.3,0.3182,0.61,0.0896,2,86,88,12.299999999999999,15.909999999999998,61.0,6.0032,Evening,Cold
1359,2011-03-01,Spring,2011,Mar,21,No,Tuesday,Clear,0.26,0.303,0.56,0.0,8,55,63,10.66,15.15,56.00000000000001,0.0,Night,Cold
1360,2011-03-01,Spring,2011,Mar,22,No,Tuesday,Clear,0.24,0.2727,0.62,0.1045,3,44,47,9.84,13.635,62.0,7.0015,Night,Cold
1361,2011-03-01,Spring,2011,Mar,23,No,Tuesday,Clear,0.24,0.2273,0.65,0.2239,2,23,25,9.84,11.365,65.0,15.001299999999999,Night,Cold
1362,2011-03-02,Spring,2011,Mar,0,No,Wednesday,Clear,0.22,0.2273,0.69,0.1642,3,5,8,9.02,11.365,69.0,11.0014,Night,Cold
1363,2011-03-02,Spring,2011,Mar,1,No,Wednesday,Clear,0.22,0.2273,0.69,0.194,0,4,4,9.02,11.365,69.0,12.998000000000001,Night,Cold
1364,2011-03-02,Spring,2011,Mar,2,No,Wednesday,Clear,0.22,0.2273,0.69,0.194,0,2,2,9.02,11.365,69.0,12.998000000000001,Night,Cold
1365,2011-03-02,Spring,2011,Mar,3,No,Wednesday,Clear,0.22,0.2121,0.69,0.2836,3,1,4,9.02,10.605,69.0,19.0012,Night,Cold
1366,2011-03-02,Spring,2011,Mar,4,No,Wednesday,Clear,0.2,0.2121,0.75,0.1343,1,0,1,8.200000000000001,10.605,75.0,8.9981,Night,Cold
1367,2011-03-02,Spring,2011,Mar,5,No,Wednesday,Clear,0.22,0.2121,0.69,0.2239,0,5,5,9.02,10.605,69.0,15.001299999999999,Night,Cold
1368,2011-03-02,Spring,2011,Mar,6,No,Wednesday,Clear,0.22,0.2121,0.55,0.2537,1,39,40,9.02,10.605,55.00000000000001,16.997899999999998,Morning,Cold
1369,2011-03-02,Spring,2011,Mar,7,No,Wednesday,Clear,0.22,0.2121,0.64,0.2537,2,108,110,9.02,10.605,64.0,16.997899999999998,Morning,Cold
1370,2011-03-02,Spring,2011,Mar,8,No,Wednesday,Clear,0.24,0.2121,0.65,0.2836,13,243,256,9.84,10.605,65.0,19.0012,Morning,Cold
1371,2011-03-02,Spring,2011,Mar,9,No,Wednesday,Clear,0.28,0.2576,0.56,0.2985,7,141,148,11.48,12.879999999999999,56.00000000000001,19.999499999999998,Morning,Cold
1372,2011-03-02,Spring,2011,Mar,10,No,Wednesday,Clear,0.32,0.303,0.49,0.2836,11,65,76,13.120000000000001,15.15,49.0,19.0012,Morning,Cold
1373,2011-03-02,Spring,2011,Mar,11,No,Wednesday,Clear,0.34,0.303,0.53,0.3284,8,65,73,13.940000000000001,15.15,53.0,22.0028,Morning,Cold
1374,2011-03-02,Spring,2011,Mar,12,No,Wednesday,Clear,0.4,0.4091,0.43,0.194,20,62,82,16.400000000000002,20.455000000000002,43.0,12.998000000000001,Afternoon,Mild
1375,2011-03-02,Spring,2011,Mar,13,No,Wednesday,Clear,0.5,0.4848,0.25,0.0,35,90,125,20.5,24.240000000000002,25.0,0.0,Afternoon,Mild
1376,2011-03-02,Spring,2011,Mar,14,No,Wednesday,Clear,0.52,0.5,0.23,0.2985,21,75,96,21.32,25.0,23.0,19.999499999999998,Afternoon,Mild
1377,2011-03-02,Spring,2011,Mar,15,No,Wednesday,Clear,0.54,0.5152,0.19,0.4179,19,91,110,22.14,25.759999999999998,19.0,27.999299999999998,Afternoon,Mild
1378,2011-03-02,Spring,2011,Mar,16,No,Wednesday,Clear,0.54,0.5152,0.19,0.3284,27,112,139,22.14,25.759999999999998,19.0,22.0028,Afternoon,Mild
1379,2011-03-02,Spring,2011,Mar,17,No,Wednesday,Clear,0.5,0.4848,0.23,0.2836,30,238,268,20.5,24.240000000000002,23.0,19.0012,Evening,Mild
1380,2011-03-02,Spring,2011,Mar,18,No,Wednesday,Clear,0.46,0.4545,0.23,0.4925,8,193,201,18.86,22.725,23.0,32.9975,Evening,Mild
1381,2011-03-02,Spring,2011,Mar,19,No,Wednesday,Clear,0.4,0.4091,0.28,0.5224,6,144,150,16.400000000000002,20.455000000000002,28.000000000000004,35.0008,Evening,Mild
1382,2011-03-02,Spring,2011,Mar,20,No,Wednesday,Clear,0.36,0.3333,0.29,0.4179,9,86,95,14.76,16.665,28.999999999999996,27.999299999999998,Evening,Mild
1383,2011-03-02,Spring,2011,Mar,21,No,Wednesday,Clear,0.34,0.2879,0.29,0.4627,3,68,71,13.940000000000001,14.395,28.999999999999996,31.0009,Night,Cold
1384,2011-03-02,Spring,2011,Mar,22,No,Wednesday,Clear,0.3,0.2576,0.26,0.5522,4,44,48,12.299999999999999,12.879999999999999,26.0,36.9974,Night,Cold
1385,2011-03-02,Spring,2011,Mar,23,No,Wednesday,Clear,0.26,0.2121,0.3,0.5224,0,22,22,10.66,10.605,30.0,35.0008,Night,Cold
1386,2011-03-03,Spring,2011,Mar,0,No,Thursday,Clear,0.24,0.197,0.3,0.4627,3,10,13,9.84,9.85,30.0,31.0009,Night,Cold
1387,2011-03-03,Spring,2011,Mar,1,No,Thursday,Clear,0.24,0.197,0.3,0.4627,0,1,1,9.84,9.85,30.0,31.0009,Night,Cold
1388,2011-03-03,Spring,2011,Mar,2,No,Thursday,Clear,0.2,0.1667,0.27,0.4627,1,2,3,8.200000000000001,8.334999999999999,27.0,31.0009,Night,Cold
1389,2011-03-03,Spring,2011,Mar,3,No,Thursday,Clear,0.2,0.1667,0.27,0.4627,0,1,1,8.200000000000001,8.334999999999999,27.0,31.0009,Night,Cold
1390,2011-03-03,Spring,2011,Mar,4,No,Thursday,Clear,0.16,0.1212,0.31,0.4925,0,1,1,6.5600000000000005,6.0600000000000005,31.0,32.9975,Night,Cold
1391,2011-03-03,Spring,2011,Mar,5,No,Thursday,Clear,0.14,0.1212,0.33,0.2985,1,7,8,5.74,6.0600000000000005,33.0,19.999499999999998,Night,Cold
1392,2011-03-03,Spring,2011,Mar,6,No,Thursday,Clear,0.14,0.1212,0.33,0.2985,1,34,35,5.74,6.0600000000000005,33.0,19.999499999999998,Morning,Cold
1393,2011-03-03,Spring,2011,Mar,7,No,Thursday,Clear,0.12,0.0909,0.42,0.4179,1,110,111,4.92,4.545,42.0,27.999299999999998,Morning,Cold
1394,2011-03-03,Spring,2011,Mar,8,No,Thursday,Clear,0.14,0.1212,0.39,0.2985,4,216,220,5.74,6.0600000000000005,39.0,19.999499999999998,Morning,Cold
1395,2011-03-03,Spring,2011,Mar,9,No,Thursday,Clear,0.16,0.1364,0.37,0.2836,10,135,145,6.5600000000000005,6.819999999999999,37.0,19.0012,Morning,Cold
1396,2011-03-03,Spring,2011,Mar,10,No,Thursday,Clear,0.18,0.1818,0.29,0.194,7,49,56,7.38,9.09,28.999999999999996,12.998000000000001,Morning,Cold
1397,2011-03-03,Spring,2011,Mar,11,No,Thursday,Clear,0.2,0.2273,0.29,0.0896,10,40,50,8.200000000000001,11.365,28.999999999999996,6.0032,Morning,Cold
1398,2011-03-03,Spring,2011,Mar,12,No,Thursday,Clear,0.22,0.2273,0.25,0.1343,7,65,72,9.02,11.365,25.0,8.9981,Afternoon,Cold
1399,2011-03-03,Spring,2011,Mar,13,No,Thursday,Clear,0.22,0.2576,0.25,0.0896,13,67,80,9.02,12.879999999999999,25.0,6.0032,Afternoon,Cold
1400,2011-03-03,Spring,2011,Mar,14,No,Thursday,Clear,0.24,0.2576,0.21,0.1045,18,60,78,9.84,12.879999999999999,21.0,7.0015,Afternoon,Cold
1401,2011-03-03,Spring,2011,Mar,15,No,Thursday,Clear,0.24,0.2879,0.23,0.0,6,62,68,9.84,14.395,23.0,0.0,Afternoon,Cold
1402,2011-03-03,Spring,2011,Mar,16,No,Thursday,Clear,0.26,0.303,0.23,0.0,6,65,71,10.66,15.15,23.0,0.0,Afternoon,Cold
1403,2011-03-03,Spring,2011,Mar,17,No,Thursday,Clear,0.26,0.303,0.22,0.0,17,185,202,10.66,15.15,22.0,0.0,Evening,Cold
1404,2011-03-03,Spring,2011,Mar,18,No,Thursday,Clear,0.24,0.2121,0.35,0.3284,6,161,167,9.84,10.605,35.0,22.0028,Evening,Cold
1405,2011-03-03,Spring,2011,Mar,19,No,Thursday,Clear,0.2,0.197,0.4,0.2537,5,101,106,8.200000000000001,9.85,40.0,16.997899999999998,Evening,Cold
1406,2011-03-03,Spring,2011,Mar,20,No,Thursday,Clear,0.2,0.2273,0.4,0.0896,1,69,70,8.200000000000001,11.365,40.0,6.0032,Evening,Cold
1407,2011-03-03,Spring,2011,Mar,21,No,Thursday,Clear,0.18,0.2121,0.4,0.1045,3,48,51,7.38,10.605,40.0,7.0015,Night,Cold
1408,2011-03-03,Spring,2011,Mar,22,No,Thursday,Clear,0.2,0.2576,0.4,0.0,3,50,53,8.200000000000001,12.879999999999999,40.0,0.0,Night,Cold
1409,2011-03-03,Spring,2011,Mar,23,No,Thursday,Mist,0.18,0.2121,0.43,0.0896,0,23,23,7.38,10.605,43.0,6.0032,Night,Cold
1410,2011-03-04,Spring,2011,Mar,0,No,Friday,Mist,0.2,0.197,0.55,0.194,0,12,12,8.200000000000001,9.85,55.00000000000001,12.998000000000001,Night,Cold
1411,2011-03-04,Spring,2011,Mar,1,No,Friday,Mist,0.18,0.1818,0.64,0.194,0,4,4,7.38,9.09,64.0,12.998000000000001,Night,Cold
1412,2011-03-04,Spring,2011,Mar,2,No,Friday,Mist,0.18,0.1818,0.64,0.194,0,2,2,7.38,9.09,64.0,12.998000000000001,Night,Cold
1413,2011-03-04,Spring,2011,Mar,3,No,Friday,Mist,0.18,0.1667,0.74,0.2537,0,1,1,7.38,8.334999999999999,74.0,16.997899999999998,Night,Cold
1414,2011-03-04,Spring,2011,Mar,4,No,Friday,Mist,0.18,0.1818,0.74,0.194,1,0,1,7.38,9.09,74.0,12.998000000000001,Night,Cold
1415,2011-03-04,Spring,2011,Mar,5,No,Friday,Mist,0.16,0.1818,0.74,0.1343,0,7,7,6.5600000000000005,9.09,74.0,8.9981,Night,Cold
1416,2011-03-04,Spring,2011,Mar,6,No,Friday,Mist,0.16,0.197,0.74,0.0896,1,28,29,6.5600000000000005,9.85,74.0,6.0032,Morning,Cold
1417,2011-03-04,Spring,2011,Mar,7,No,Friday,Clear,0.16,0.1818,0.8,0.1343,0,83,83,6.5600000000000005,9.09,80.0,8.9981,Morning,Cold
1418,2011-03-04,Spring,2011,Mar,8,No,Friday,Clear,0.18,0.197,0.74,0.1343,6,222,228,7.38,9.85,74.0,8.9981,Morning,Cold
1419,2011-03-04,Spring,2011,Mar,9,No,Friday,Clear,0.22,0.2273,0.6,0.1343,12,138,150,9.02,11.365,60.0,8.9981,Morning,Cold
1420,2011-03-04,Spring,2011,Mar,10,No,Friday,Clear,0.24,0.2273,0.6,0.2537,10,56,66,9.84,11.365,60.0,16.997899999999998,Morning,Cold
1421,2011-03-04,Spring,2011,Mar,11,No,Friday,Clear,0.28,0.2727,0.52,0.2239,16,73,89,11.48,13.635,52.0,15.001299999999999,Morning,Cold
1422,2011-03-04,Spring,2011,Mar,12,No,Friday,Clear,0.32,0.303,0.43,0.1642,10,87,97,13.120000000000001,15.15,43.0,11.0014,Afternoon,Cold
1423,2011-03-04,Spring,2011,Mar,13,No,Friday,Clear,0.34,0.3182,0.42,0.2239,13,74,87,13.940000000000001,15.909999999999998,42.0,15.001299999999999,Afternoon,Cold
1424,2011-03-04,Spring,2011,Mar,14,No,Friday,Clear,0.36,0.3333,0.4,0.2836,30,65,95,14.76,16.665,40.0,19.0012,Afternoon,Mild
1425,2011-03-04,Spring,2011,Mar,15,No,Friday,Clear,0.36,0.3333,0.4,0.2985,31,75,106,14.76,16.665,40.0,19.999499999999998,Afternoon,Mild
1426,2011-03-04,Spring,2011,Mar,16,No,Friday,Clear,0.36,0.3485,0.46,0.194,17,101,118,14.76,17.424999999999997,46.0,12.998000000000001,Afternoon,Mild
1427,2011-03-04,Spring,2011,Mar,17,No,Friday,Mist,0.36,0.3333,0.5,0.2537,22,206,228,14.76,16.665,50.0,16.997899999999998,Evening,Mild
1428,2011-03-04,Spring,2011,Mar,18,No,Friday,Mist,0.34,0.303,0.53,0.2985,15,172,187,13.940000000000001,15.15,53.0,19.999499999999998,Evening,Cold
1429,2011-03-04,Spring,2011,Mar,19,No,Friday,Clear,0.32,0.303,0.61,0.2537,5,102,107,13.120000000000001,15.15,61.0,16.997899999999998,Evening,Cold
1430,2011-03-04,Spring,2011,Mar,20,No,Friday,Mist,0.3,0.2879,0.7,0.194,9,78,87,12.299999999999999,14.395,70.0,12.998000000000001,Evening,Cold
1431,2011-03-04,Spring,2011,Mar,21,No,Friday,Mist,0.3,0.2879,0.7,0.2239,6,64,70,12.299999999999999,14.395,70.0,15.001299999999999,Night,Cold
1432,2011-03-04,Spring,2011,Mar,22,No,Friday,Clear,0.3,0.2879,0.7,0.194,4,40,44,12.299999999999999,14.395,70.0,12.998000000000001,Night,Cold
1433,2011-03-04,Spring,2011,Mar,23,No,Friday,Mist,0.3,0.303,0.75,0.1642,6,40,46,12.299999999999999,15.15,75.0,11.0014,Night,Cold
1434,2011-03-05,Spring,2011,Mar,0,No,Saturday,Mist,0.28,0.2879,0.81,0.1045,4,15,19,11.48,14.395,81.0,7.0015,Night,Cold
1435,2011-03-05,Spring,2011,Mar,1,No,Saturday,Mist,0.3,0.3182,0.81,0.1045,5,20,25,12.299999999999999,15.909999999999998,81.0,7.0015,Night,Cold
1436,2011-03-05,Spring,2011,Mar,2,No,Saturday,Mist,0.3,0.2879,0.87,0.194,5,15,20,12.299999999999999,14.395,87.0,12.998000000000001,Night,Cold
1437,2011-03-05,Spring,2011,Mar,3,No,Saturday,Mist,0.3,0.2879,0.87,0.194,0,2,2,12.299999999999999,14.395,87.0,12.998000000000001,Night,Cold
1438,2011-03-05,Spring,2011,Mar,4,No,Saturday,Mist,0.3,0.303,0.93,0.1642,0,1,1,12.299999999999999,15.15,93.0,11.0014,Night,Cold
1439,2011-03-05,Spring,2011,Mar,5,No,Saturday,Mist,0.3,0.303,1.0,0.1343,0,3,3,12.299999999999999,15.15,100.0,8.9981,Night,Cold
1440,2011-03-05,Spring,2011,Mar,6,No,Saturday,Mist,0.3,0.2879,1.0,0.2239,1,3,4,12.299999999999999,14.395,100.0,15.001299999999999,Morning,Cold
1441,2011-03-05,Spring,2011,Mar,7,No,Saturday,Mist,0.3,0.2727,1.0,0.2985,5,10,15,12.299999999999999,13.635,100.0,19.999499999999998,Morning,Cold
1442,2011-03-05,Spring,2011,Mar,8,No,Saturday,Mist,0.3,0.2727,1.0,0.2985,11,34,45,12.299999999999999,13.635,100.0,19.999499999999998,Morning,Cold
1443,2011-03-05,Spring,2011,Mar,9,No,Saturday,Mist,0.32,0.303,0.93,0.2239,15,48,63,13.120000000000001,15.15,93.0,15.001299999999999,Morning,Cold
1444,2011-03-05,Spring,2011,Mar,10,No,Saturday,Mist,0.34,0.3333,0.93,0.194,34,69,103,13.940000000000001,16.665,93.0,12.998000000000001,Morning,Cold
1445,2011-03-05,Spring,2011,Mar,11,No,Saturday,Mist,0.4,0.4091,0.76,0.2239,43,116,159,16.400000000000002,20.455000000000002,76.0,15.001299999999999,Morning,Mild
1446,2011-03-05,Spring,2011,Mar,12,No,Saturday,Mist,0.44,0.4394,0.67,0.2537,46,121,167,18.04,21.97,67.0,16.997899999999998,Afternoon,Mild
1447,2011-03-05,Spring,2011,Mar,13,No,Saturday,Mist,0.46,0.4545,0.67,0.2836,60,130,190,18.86,22.725,67.0,19.0012,Afternoon,Mild
1448,2011-03-05,Spring,2011,Mar,14,No,Saturday,Mist,0.48,0.4697,0.59,0.2836,80,118,198,19.68,23.485,59.0,19.0012,Afternoon,Mild
1449,2011-03-05,Spring,2011,Mar,15,No,Saturday,Mist,0.46,0.4545,0.63,0.2985,83,122,205,18.86,22.725,63.0,19.999499999999998,Afternoon,Mild
1450,2011-03-05,Spring,2011,Mar,16,No,Saturday,Mist,0.48,0.4697,0.59,0.2985,74,130,204,19.68,23.485,59.0,19.999499999999998,Afternoon,Mild
1451,2011-03-05,Spring,2011,Mar,17,No,Saturday,Mist,0.48,0.4697,0.59,0.3582,60,104,164,19.68,23.485,59.0,23.9994,Evening,Mild
1452,2011-03-05,Spring,2011,Mar,18,No,Saturday,Mist,0.48,0.4697,0.59,0.3284,37,115,152,19.68,23.485,59.0,22.0028,Evening,Mild
1453,2011-03-05,Spring,2011,Mar,19,No,Saturday,Mist,0.46,0.4545,0.67,0.3284,27,62,89,18.86,22.725,67.0,22.0028,Evening,Mild
1454,2011-03-05,Spring,2011,Mar,20,No,Saturday,Mist,0.44,0.4394,0.77,0.3284,12,58,70,18.04,21.97,77.0,22.0028,Evening,Mild
1455,2011-03-05,Spring,2011,Mar,21,No,Saturday,Mist,0.44,0.4394,0.72,0.3284,12,60,72,18.04,21.97,72.0,22.0028,Night,Mild
1456,2011-03-05,Spring,2011,Mar,22,No,Saturday,Mist,0.42,0.4242,0.77,0.2985,16,47,63,17.22,21.21,77.0,19.999499999999998,Night,Mild
1457,2011-03-05,Spring,2011,Mar,23,No,Saturday,Mist,0.44,0.4394,0.77,0.2985,10,34,44,18.04,21.97,77.0,19.999499999999998,Night,Mild
1458,2011-03-06,Spring,2011,Mar,0,No,Sunday,Mist,0.42,0.4242,0.77,0.3582,11,41,52,17.22,21.21,77.0,23.9994,Night,Mild
1459,2011-03-06,Spring,2011,Mar,1,No,Sunday,Mist,0.42,0.4242,0.77,0.2836,12,27,39,17.22,21.21,77.0,19.0012,Night,Mild
1460,2011-03-06,Spring,2011,Mar,2,No,Sunday,Mist,0.4,0.4091,0.82,0.2836,5,27,32,16.400000000000002,20.455000000000002,82.0,19.0012,Night,Mild
1461,2011-03-06,Spring,2011,Mar,3,No,Sunday,Mist,0.42,0.4242,0.82,0.2985,2,9,11,17.22,21.21,82.0,19.999499999999998,Night,Mild
1462,2011-03-06,Spring,2011,Mar,4,No,Sunday,Mist,0.42,0.4242,0.88,0.3582,0,3,3,17.22,21.21,88.0,23.9994,Night,Mild
1463,2011-03-06,Spring,2011,Mar,6,No,Sunday,Mist,0.42,0.4242,0.94,0.3582,1,1,2,17.22,21.21,94.0,23.9994,Morning,Mild
1464,2011-03-06,Spring,2011,Mar,7,No,Sunday,Light Rain/Snow,0.42,0.4242,1.0,0.4478,0,5,5,17.22,21.21,100.0,30.002599999999997,Morning,Mild
1465,2011-03-06,Spring,2011,Mar,8,No,Sunday,Mist,0.4,0.4091,1.0,0.2985,1,8,9,16.400000000000002,20.455000000000002,100.0,19.999499999999998,Morning,Mild
1466,2011-03-06,Spring,2011,Mar,9,No,Sunday,Mist,0.42,0.4242,1.0,0.2836,4,18,22,17.22,21.21,100.0,19.0012,Morning,Mild
1467,2011-03-06,Spring,2011,Mar,10,No,Sunday,Mist,0.42,0.4242,1.0,0.2985,4,27,31,17.22,21.21,100.0,19.999499999999998,Morning,Mild
1468,2011-03-06,Spring,2011,Mar,11,No,Sunday,Mist,0.42,0.4242,1.0,0.2239,18,44,62,17.22,21.21,100.0,15.001299999999999,Morning,Mild
1469,2011-03-06,Spring,2011,Mar,12,No,Sunday,Mist,0.46,0.4545,0.94,0.3284,10,69,79,18.86,22.725,94.0,22.0028,Afternoon,Mild
1470,2011-03-06,Spring,2011,Mar,13,No,Sunday,Mist,0.46,0.4545,0.94,0.3582,22,83,105,18.86,22.725,94.0,23.9994,Afternoon,Mild
1471,2011-03-06,Spring,2011,Mar,14,No,Sunday,Light Rain/Snow,0.44,0.4394,1.0,0.2239,12,27,39,18.04,21.97,100.0,15.001299999999999,Afternoon,Mild
1472,2011-03-06,Spring,2011,Mar,15,No,Sunday,Light Rain/Snow,0.44,0.4394,1.0,0.2239,3,4,7,18.04,21.97,100.0,15.001299999999999,Afternoon,Mild
1473,2011-03-06,Spring,2011,Mar,16,No,Sunday,Light Rain/Snow,0.36,0.3333,1.0,0.2836,3,8,11,14.76,16.665,100.0,19.0012,Afternoon,Mild
1474,2011-03-06,Spring,2011,Mar,17,No,Sunday,Light Rain/Snow,0.34,0.303,1.0,0.2985,2,23,25,13.940000000000001,15.15,100.0,19.999499999999998,Evening,Cold
1475,2011-03-06,Spring,2011,Mar,18,No,Sunday,Light Rain/Snow,0.32,0.2879,1.0,0.3582,0,23,23,13.120000000000001,14.395,100.0,23.9994,Evening,Cold
1476,2011-03-06,Spring,2011,Mar,19,No,Sunday,Light Rain/Snow,0.3,0.2576,1.0,0.4925,0,11,11,12.299999999999999,12.879999999999999,100.0,32.9975,Evening,Cold
1477,2011-03-06,Spring,2011,Mar,20,No,Sunday,Light Rain/Snow,0.28,0.2424,1.0,0.4179,3,8,11,11.48,12.120000000000001,100.0,27.999299999999998,Evening,Cold
1478,2011-03-06,Spring,2011,Mar,21,No,Sunday,Light Rain/Snow,0.24,0.1818,0.93,0.6119,1,6,7,9.84,9.09,93.0,40.9973,Night,Cold
1479,2011-03-06,Spring,2011,Mar,22,No,Sunday,Mist,0.22,0.197,1.0,0.3881,0,10,10,9.02,9.85,100.0,26.0027,Night,Cold
1480,2011-03-06,Spring,2011,Mar,23,No,Sunday,Mist,0.22,0.197,1.0,0.4179,0,9,9,9.02,9.85,100.0,27.999299999999998,Night,Cold
1481,2011-03-07,Spring,2011,Mar,0,No,Monday,Light Rain/Snow,0.2,0.1818,1.0,0.3284,0,4,4,8.200000000000001,9.09,100.0,22.0028,Night,Cold
1482,2011-03-07,Spring,2011,Mar,1,No,Monday,Light Rain/Snow,0.2,0.1818,1.0,0.3284,0,2,2,8.200000000000001,9.09,100.0,22.0028,Night,Cold
1483,2011-03-07,Spring,2011,Mar,3,No,Monday,Clear,0.2,0.1515,0.8,0.5821,0,1,1,8.200000000000001,7.575,80.0,39.000699999999995,Night,Cold
1484,2011-03-07,Spring,2011,Mar,4,No,Monday,Clear,0.2,0.1515,0.8,0.5224,1,0,1,8.200000000000001,7.575,80.0,35.0008,Night,Cold
1485,2011-03-07,Spring,2011,Mar,5,No,Monday,Clear,0.2,0.1818,0.75,0.3582,0,1,1,8.200000000000001,9.09,75.0,23.9994,Night,Cold
1486,2011-03-07,Spring,2011,Mar,6,No,Monday,Clear,0.2,0.1818,0.75,0.3881,3,31,34,8.200000000000001,9.09,75.0,26.0027,Morning,Cold
1487,2011-03-07,Spring,2011,Mar,7,No,Monday,Clear,0.2,0.1667,0.75,0.4179,3,88,91,8.200000000000001,8.334999999999999,75.0,27.999299999999998,Morning,Cold
1488,2011-03-07,Spring,2011,Mar,8,No,Monday,Clear,0.2,0.1818,0.75,0.3881,11,200,211,8.200000000000001,9.09,75.0,26.0027,Morning,Cold
1489,2011-03-07,Spring,2011,Mar,9,No,Monday,Clear,0.22,0.1818,0.64,0.4627,5,129,134,9.02,9.09,64.0,31.0009,Morning,Cold
1490,2011-03-07,Spring,2011,Mar,10,No,Monday,Clear,0.24,0.2121,0.6,0.2985,15,43,58,9.84,10.605,60.0,19.999499999999998,Morning,Cold
1491,2011-03-07,Spring,2011,Mar,11,No,Monday,Clear,0.26,0.2121,0.48,0.4478,19,41,60,10.66,10.605,48.0,30.002599999999997,Morning,Cold
